Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
France,3.9339,-53.1258,0,0,411,2687,7327,52278,194587,264987,297387,348934,360035,412854,487115,492359,553714,577247,716645,829257,949935,1065832,1208901,1466065
France,-17.6797,149.4068,0,0,328,1553,1852,1806,1922,6494,35356,153917,397574,543454,580375,548540,612019,598161,621059,606365,636005,1042038,1285696,1518835
France,16.265,-61.551,0,0,1016,4293,4834,5121,6115,17841,96438,234196,268481,289495,292940,282755,355316,405356,519374,552002,593797,1036654,1611883,1831049
France,14.6415,-61.0242,0,0,946,4772,5897,6509,7991,11984,33120,80686,156645,193587,206122,196790,234869,295614,381009,388091,473257,989492,1267660,1440451
France,-12.8275,45.166244,0,0,517,7748,37920,68951,86029,97525,107429,139898,162197,189518,226428,402551,618120,631845,662593,620073,641858,647722,642515,694994
France,-20.904304999999997,165.618042,0,0,134,537,562,622,668,706,806,923,1006,1245,1404,1577,3156,3919,4130,4109,4301,4441,98408,333707
France,-21.1151,55.5364,0,0,1594,11520,13733,14903,18744,30136,91555,166116,234181,291739,313446,335258,473740,590308,755533,896502,1106431,1474937,1669721,1840479
France,17.9,-62.8333,0,0,79,180,186,180,194,411,844,2418,3710,5861,8934,14012,24077,30006,33130,33080,35508,48971,51618,56205
France,46.8852,-56.3159,0,0,0,26,31,30,83,138,339,544,528,511,590,720,792,784,825,817,878,973,991,1084
France,18.0708,-63.0501,0,0,138,984,1205,1245,1414,3520,9248,16815,21638,30120,36179,42593,53075,54562,60612,70832,82510,99154,115564,131496
France,-14.2938,-178.1165,0,0,0,0,0,0,0,0,0,16,59,122,141,242,7118,14129,14976,14528,14982,14982,14528,15436
France,46.2276,2.2137,32,366,402771,3422005,5528636,5770856,6322451,7716450,13546604,32295690,65024162,82831101,95964133,104272034,137238921,165372165,186957182,181713925,192330003,210376574,216458800,235246942
Gabon,-0.8037,11.6094,0,0,86,3106,40885,120239,195607,252682,268587,301996,300238,319392,332256,386507,569194,687225,786525,793335,833062,845492,887422,1138561
Gambia,13.4432,-15.3101,0,0,35,233,680,1016,4434,56688,105313,123802,122422,128637,129590,133038,167569,182487,196408,192939,224275,299057,315304,338281
Georgia,42.3154,43.3569,0,3,1256,9767,20931,25966,31917,41023,98579,701223,2935879,6657227,8108386,7972100,9117978,9443756,10896626,11404701,12856437,16170725,18819907,22664732
